Episode,Total_Reward,Steps,Value_Loss,Policy_Loss
1,-2472.0,125,0,0
2,-3134.0,131,0,0
3,-2094.0,118,0,0
4,-2702.0,131,0,0
5,-2867.0,133,0,0
6,-1256.0,108,0,0
7,-1516.0,115,0,0
8,-1285.0,112,0,0
9,-1527.0,110,91715.77739,-0.018
10,-1209.0,108,91715.77739,-0.018
11,-1314.0,109,91715.77739,-0.018
12,-1334.0,109,91715.77739,-0.018
13,-1239.0,112,91715.77739,-0.018
14,-1570.0,112,91715.77739,-0.018
15,-1382.0,111,91715.77739,-0.018
16,-1782.0,111,91715.77739,-0.018
17,-1219.0,110,91715.77739,-0.018
18,-1582.0,110,40229.13047,-0.01708
19,-1161.0,109,40229.13047,-0.01708
20,-1229.0,107,40229.13047,-0.01708
21,-1160.0,108,40229.13047,-0.01708
22,-1133.0,108,40229.13047,-0.01708
23,-1209.0,107,40229.13047,-0.01708
24,-1216.0,108,40229.13047,-0.01708
25,-1205.0,109,40229.13047,-0.01708
26,-1301.0,111,40229.13047,-0.01708
27,-1420.0,114,40229.13047,-0.01708
28,-1080.0,110,28566.69926,-0.00615
29,-1218.0,110,28566.69926,-0.00615
30,-1191.0,107,28566.69926,-0.00615
31,-1148.0,110,28566.69926,-0.00615
32,-1158.0,109,28566.69926,-0.00615
33,-1439.0,114,28566.69926,-0.00615
34,-1049.0,108,28566.69926,-0.00615
35,-1119.0,109,28566.69926,-0.00615
36,-1173.0,109,28566.69926,-0.00615
37,-1204.0,108,26454.60853,-0.00356
38,-1086.0,107,26454.60853,-0.00356
39,-1120.0,109,26454.60853,-0.00356
40,-1222.0,110,26454.60853,-0.00356
41,-1252.0,109,26454.60853,-0.00356
42,-1128.0,111,26454.60853,-0.00356
43,-1111.0,108,26454.60853,-0.00356
44,-1226.0,108,26454.60853,-0.00356
45,-1213.0,108,26454.60853,-0.00356
46,-1173.0,107,26580.2244,-0.00664
47,-1197.0,109,26580.2244,-0.00664
48,-1141.0,108,26580.2244,-0.00664
49,-1225.0,108,26580.2244,-0.00664
50,-1125.0,107,26580.2244,-0.00664
51,-1270.0,109,26580.2244,-0.00664
52,-1296.0,108,26580.2244,-0.00664
53,-1095.0,108,26580.2244,-0.00664
54,-1131.0,111,26580.2244,-0.00664
55,-1185.0,109,26580.2244,-0.00664
56,-1155.0,108,26495.13242,-0.00315
57,-1517.0,107,26495.13242,-0.00315
58,-1142.0,108,26495.13242,-0.00315
59,-1114.0,108,26495.13242,-0.00315
60,-1123.0,108,26495.13242,-0.00315
61,-1062.0,106,26495.13242,-0.00315
62,-1361.0,109,26495.13242,-0.00315
63,-1198.0,107,26495.13242,-0.00315
64,-1110.0,108,26495.13242,-0.00315
65,-1064.0,108,28352.45593,-0.00913
66,-1084.0,109,28352.45593,-0.00913
67,-951.0,108,28352.45593,-0.00913
68,-1101.0,109,28352.45593,-0.00913
69,-1281.0,107,28352.45593,-0.00913
70,-1214.0,108,28352.45593,-0.00913
71,-1136.0,107,28352.45593,-0.00913
72,-1122.0,108,28352.45593,-0.00913
73,-1093.0,107,28352.45593,-0.00913
74,-1044.0,108,28352.45593,-0.00913
75,-1153.0,110,23144.76292,-0.01037
76,-1089.0,109,23144.76292,-0.01037
77,-1078.0,108,23144.76292,-0.01037
78,-1089.0,107,23144.76292,-0.01037
79,-1085.0,108,23144.76292,-0.01037
80,-1117.0,109,23144.76292,-0.01037
81,-1150.0,108,23144.76292,-0.01037
