Episode,Steps,Avg_N,Avg_E,Avg_S,Avg_W,Reward
50,17127,3.21,1.38,4.56,22.21,-151972.0
100,33319,10.33,2.01,2.38,19.92,-139968.0
150,51124,8.86,1.03,3.03,18.44,-327809.0
200,68987,11.45,1.24,4.4,17.78,-234910.0
250,85050,9.76,1.22,5.21,23.62,-382450.0
300,103559,10.79,1.42,2.59,14.42,-284202.0
350,122854,7.65,1.46,6.54,21.02,-159200.0
400,145853,11.09,1.6,2.64,17.66,-163843.0
450,167969,6.33,1.26,6.84,17.22,-193952.0
500,189809,12.07,1.12,2.51,13.56,-131638.0
550,212549,17.98,0.77,2.87,20.61,-503498.0
600,234948,12.9,2.25,8.52,18.23,-115436.0
650,255450,4.9,1.14,2.47,18.09,-139385.0
700,276502,4.93,1.54,3.33,18.07,-305824.0
750,296644,9.76,1.06,4.18,17.9,-284284.0
800,322215,10.5,1.24,3.8,21.29,-461521.0
850,345923,12.96,1.41,1.84,22.17,-214342.0
900,368923,14.9,1.85,2.61,16.25,-243145.0
950,393639,7.16,1.82,1.7,21.07,-141571.0
1000,419755,14.89,1.12,2.61,19.91,-526960.0
1050,446671,16.72,0.89,4.35,22.7,-940845.0
1100,473034,11.63,1.33,3.35,18.64,-361199.0
1150,499280,10.45,1.37,3.21,18.7,-352657.0
