Episode,Steps,N,E,S,W,Reward
50,127,12.14,6.53,9.03,17.17,-101635.0
100,70,9.59,5.33,8.2,16.96,-46833.0
150,127,4.24,6.58,6.07,21.57,-93892.0
200,120,13.28,12.04,4.27,19.91,-118643.0
250,129,11.08,17.41,9.19,20.86,-158568.0
300,128,22.3,2.11,7.56,11.69,-114917.0
350,119,10.29,5.44,2.77,14.86,-67724.0
400,77,20.08,3.43,8.51,4.6,-53125.0
450,84,20.2,1.52,6.1,14.82,-80324.0
500,66,3.58,6.2,5.44,18.73,-41122.0
550,76,0.41,7.54,13.16,18.29,-63262.0
600,85,13.15,8.29,15.4,2.22,-66193.0
650,141,12.4,14.47,12.82,13.39,-172102.0
700,101,13.47,4.04,17.63,15.96,-118123.0
750,68,21.15,7.06,7.56,0.69,-51759.0
800,72,10.62,9.53,1.97,16.61,-53979.0
850,104,9.69,16.99,14.18,4.52,-96548.0
900,70,1.83,6.59,14.0,17.91,-57765.0
950,71,21.62,1.25,4.59,17.34,-77541.0
1000,79,8.91,3.25,16.68,14.14,-68430.0
1050,86,15.0,1.05,13.38,14.87,-81082.0
1100,84,12.31,1.32,20.64,18.12,-106459.0
1150,69,10.91,2.13,7.19,18.0,-50108.0
1200,72,16.85,0.06,15.1,19.33,-86156.0
1250,62,1.37,10.1,7.11,20.03,-46018.0
1300,76,1.78,4.18,13.38,18.47,-58894.0
1350,65,10.31,2.97,3.62,18.68,-45926.0
1400,93,15.03,1.88,18.19,15.65,-112438.0
1450,75,15.27,0.15,17.2,17.97,-86518.0
1500,83,20.49,11.81,1.66,8.75,-73193.0
1550,81,19.49,3.53,18.58,8.43,-93103.0
1600,85,18.95,3.13,5.96,12.42,-72150.0
1650,65,17.83,0.02,11.62,20.69,-74098.0
1700,69,9.86,0.67,11.16,19.75,-59185.0
1750,65,16.74,0.05,11.78,21.25,-75250.0
1800,80,10.52,16.27,1.19,20.94,-89718.0
1850,93,5.2,6.26,10.63,14.48,-64526.0
1900,98,18.62,3.24,19.54,10.48,-120553.0
1950,66,11.21,4.8,4.79,21.65,-58820.0
2000,96,8.38,20.43,21.11,6.59,-132359.0
