Episode,Inflow_P,Steps,Avg_QA,Avg_QB,Avg_QC,Switches,Reward
50,0.52,32,10.09,5.06,6.28,24,-7888.0
100,0.89,9,11.56,0.0,0.33,9,-1624.0
150,0.63,17,10.53,3.71,0.0,14,-2788.0
200,0.8,16,10.25,3.94,0.75,11,-2770.0
250,0.51,17,8.59,4.24,1.06,14,-2428.0
300,0.53,30,9.87,5.5,1.3,23,-6361.0
350,0.83,19,6.26,5.21,2.84,17,-2869.0
400,0.51,20,10.9,0.75,1.05,15,-3307.0
450,0.68,13,11.46,0.92,0.23,11,-2257.0
500,0.84,13,12.38,0.92,0.92,11,-2536.0
550,0.54,22,7.32,6.95,1.23,17,-3724.0
600,0.69,19,12.58,2.21,3.16,16,-4249.0
650,0.82,15,6.93,0.0,0.4,11,-1645.0
700,0.63,20,10.9,5.25,0.15,13,-3673.0
750,0.46,47,6.06,7.34,3.62,36,-8212.0
800,0.51,25,8.84,0.24,1.56,15,-3127.0
850,0.85,11,10.82,1.64,0.27,9,-1795.0
900,0.55,24,9.83,0.0,0.25,15,-3901.0
950,0.75,10,11.3,1.8,0.0,8,-1699.0
1000,0.61,11,12.18,0.27,0.27,7,-1999.0
1050,0.63,25,5.04,8.0,5.04,19,-4447.0
1100,0.64,8,11.12,0.38,0.0,8,-1384.0
1150,0.42,20,9.55,3.3,0.3,18,-2875.0
1200,0.6,14,9.36,7.93,0.43,11,-2977.0
1250,0.51,32,11.5,9.0,0.75,26,-9232.0
1300,0.72,13,9.15,3.0,0.0,9,-1741.0
1350,0.79,14,10.43,5.36,1.93,13,-2737.0
1400,0.8,13,9.62,0.0,0.23,10,-1774.0
1450,0.54,25,11.48,0.96,3.48,18,-4468.0
1500,0.88,16,13.62,5.62,3.56,11,-4714.0
1550,0.56,19,8.63,0.32,0.32,13,-2539.0
1600,0.51,19,6.11,3.0,0.63,13,-1918.0
1650,0.59,17,7.35,0.0,0.35,14,-1861.0
1700,0.79,12,10.67,0.0,1.5,9,-1885.0
1750,0.88,20,6.7,3.45,5.7,11,-3526.0
1800,0.88,19,11.47,5.68,7.11,11,-5794.0
1850,0.7,13,10.31,2.31,0.0,13,-2233.0
1900,0.88,10,12.5,0.0,0.0,10,-2053.0
1950,0.44,35,4.09,0.17,1.29,23,-2437.0
2000,0.44,24,5.33,0.5,0.0,14,-1942.0
2050,0.78,8,11.88,0.38,1.12,6,-1489.0
2100,0.49,29,11.97,4.66,1.14,20,-6811.0
2150,0.74,14,8.29,8.57,0.43,10,-2890.0
2200,0.48,23,5.57,3.26,0.26,17,-2266.0
2250,0.75,18,9.28,1.33,7.67,13,-4132.0
2300,0.89,10,10.1,3.0,2.1,7,-1675.0
2350,0.43,18,8.78,0.33,0.33,13,-2323.0
2400,0.88,8,11.5,1.88,0.0,6,-1435.0
2450,0.65,18,9.28,0.17,5.33,11,-2905.0
2500,0.42,29,10.93,1.66,2.59,22,-5356.0
2550,0.5,15,7.53,0.4,0.6,8,-1762.0
2600,0.51,24,9.21,0.25,4.62,11,-4237.0
2650,0.88,21,9.52,3.86,8.14,13,-5671.0
2700,0.62,23,8.57,7.04,1.43,13,-4807.0
2750,0.86,10,10.1,1.8,0.6,9,-1552.0
2800,0.55,42,8.48,1.57,2.14,20,-5416.0
2850,0.54,20,8.2,3.6,0.0,12,-2650.0
2900,0.5,19,10.84,1.74,2.37,16,-3376.0
2950,0.44,18,11.61,0.67,0.0,11,-3058.0
3000,0.74,13,9.85,0.0,0.0,10,-1810.0
3050,0.67,10,9.8,0.6,0.0,7,-1423.0
3100,0.7,10,10.1,0.0,0.0,6,-1489.0
3150,0.61,11,9.73,0.55,0.0,8,-1609.0
3200,0.49,14,7.86,0.43,3.43,9,-1957.0
3250,0.59,17,8.59,1.94,1.76,9,-2200.0
3300,0.68,17,7.35,4.06,1.94,13,-2296.0
3350,0.62,12,9.17,2.5,0.0,7,-1639.0
3400,0.47,27,9.3,4.89,0.0,17,-4246.0
3450,0.73,16,7.62,7.12,3.38,12,-3208.0
3500,0.9,15,7.53,0.8,2.4,8,-1789.0
3550,0.58,16,7.44,3.19,0.94,13,-2080.0
3600,0.73,10,11.0,0.6,1.2,8,-1654.0
