episode,inflow_prob,Vehicles_A,reward_A,Vehicle_B,reward_B,vehicles_C,reward_C,vehicles_I,reward_I,time
5,0.61,30,-407.0,18,-171.0,18,-171.0,23,-210.0,23
10,0.71,5,-21.0,30,-352.0,9,-66.0,8,-10.0,17
15,0.59,28,-325.0,0,0.0,3,-6.0,30,-435.0,13
20,0.7,11,-136.0,30,-351.0,0,0.0,28,-406.0,17
25,0.71,25,-253.0,0,0.0,0,-1.0,30,-378.0,13
30,0.6,27,-378.0,9,-15.0,0,0.0,30,-378.0,20
35,0.51,30,-435.0,0,-1.0,23,-276.0,28,-351.0,19
40,0.49,26,-300.0,13,-153.0,9,-15.0,30,-325.0,22
45,0.65,16,-78.0,0,0.0,19,-190.0,30,-435.0,17
50,0.48,30,-325.0,0,0.0,2,-3.0,22,-171.0,27
55,0.4,30,-378.0,0,0.0,0,0.0,26,-276.0,21
60,0.63,28,-301.0,13,-91.0,9,-45.0,30,-435.0,20
65,0.43,30,-378.0,8,-55.0,24,-300.0,18,-105.0,39
70,0.55,30,-407.0,4,-11.0,21,-232.0,30,-351.0,21
75,0.6,9,-15.0,0,-3.0,7,-16.0,30,-378.0,16
80,0.72,30,-407.0,5,-15.0,14,-105.0,24,-231.0,16
85,0.72,27,-326.0,4,-45.0,10,-45.0,30,-378.0,18
90,0.77,30,-351.0,18,-171.0,0,0.0,23,-190.0,15
95,0.54,29,-435.0,0,0.0,16,-78.0,30,-435.0,16
100,0.64,30,-325.0,6,-21.0,12,-55.0,30,-435.0,22
105,0.46,17,-153.0,5,-15.0,30,-326.0,23,-406.0,29
110,0.46,26,-276.0,0,-1.0,0,0.0,30,-406.0,26
115,0.71,30,-325.0,13,-91.0,21,-231.0,19,-105.0,22
120,0.7,27,-300.0,12,-56.0,4,-10.0,30,-406.0,22
125,0.68,30,-406.0,3,-6.0,25,-277.0,30,-406.0,18
130,0.49,13,-36.0,0,0.0,30,-325.0,9,-55.0,28
135,0.42,14,-120.0,30,-379.0,26,-352.0,5,-3.0,30
140,0.8,18,-106.0,0,-1.0,8,-36.0,30,-406.0,12
145,0.41,25,-276.0,0,0.0,21,-231.0,30,-325.0,31
150,0.74,30,-326.0,10,-56.0,16,-136.0,15,-55.0,10
155,0.69,30,-378.0,5,-15.0,6,-3.0,22,-300.0,15
160,0.55,27,-325.0,0,0.0,21,-190.0,30,-378.0,17
165,0.77,30,-379.0,0,-3.0,23,-231.0,27,-276.0,33
170,0.73,17,-79.0,25,-326.0,3,-36.0,30,-406.0,14
175,0.52,11,-22.0,23,-276.0,12,-78.0,30,-351.0,17
180,0.72,30,-435.0,27,-379.0,19,-190.0,23,-231.0,29
185,0.75,30,-379.0,7,-29.0,25,-325.0,12,-36.0,22
190,0.71,12,-55.0,30,-435.0,7,-28.0,14,-105.0,16
195,0.69,30,-406.0,14,-153.0,21,-171.0,22,-153.0,27
200,0.74,30,-406.0,17,-154.0,18,-172.0,21,-136.0,14
205,0.77,18,-171.0,2,-1.0,10,-55.0,30,-435.0,13
210,0.62,4,-1.0,20,-253.0,6,-28.0,30,-378.0,15
215,0.66,30,-326.0,1,-1.0,5,0.0,18,-231.0,9
220,0.57,30,-406.0,9,-45.0,26,-351.0,30,-435.0,30
225,0.48,30,-325.0,4,-10.0,3,-1.0,27,-300.0,19
230,0.78,30,-406.0,5,-16.0,16,-136.0,11,-36.0,17
235,0.72,30,-379.0,19,-190.0,18,-171.0,20,-210.0,23
240,0.49,30,-407.0,0,0.0,10,-15.0,14,-136.0,14
245,0.58,8,-91.0,12,-78.0,30,-435.0,21,-231.0,28
250,0.56,15,-66.0,0,-1.0,7,-66.0,30,-325.0,15
255,0.74,30,-378.0,1,-1.0,13,-45.0,27,-378.0,13
260,0.45,30,-435.0,0,0.0,0,0.0,30,-406.0,14
265,0.41,30,-436.0,0,0.0,8,-36.0,5,-6.0,13
270,0.64,9,-28.0,30,-435.0,9,-28.0,20,-153.0,22
275,0.76,25,-277.0,0,-10.0,4,-1.0,30,-351.0,12
280,0.61,24,-190.0,20,-210.0,18,-253.0,30,-406.0,23
285,0.41,30,-351.0,0,-1.0,12,-78.0,22,-190.0,36
290,0.64,30,-406.0,0,-3.0,2,-10.0,25,-210.0,19
295,0.41,26,-276.0,2,-21.0,30,-406.0,22,-153.0,22
300,0.48,11,-36.0,0,-10.0,6,-15.0,30,-406.0,27
305,0.66,30,-435.0,12,-79.0,11,-66.0,23,-231.0,17
310,0.53,12,-36.0,19,-231.0,22,-210.0,30,-378.0,30
315,0.77,30,-435.0,0,-3.0,19,-253.0,23,-171.0,18
320,0.71,26,-231.0,0,-1.0,6,-28.0,30,-406.0,13
325,0.73,30,-435.0,9,-15.0,24,-253.0,18,-136.0,19
330,0.65,30,-325.0,0,0.0,3,-1.0,27,-351.0,16
335,0.6,24,-210.0,2,-3.0,7,-29.0,30,-406.0,17
340,0.41,30,-352.0,4,-28.0,6,-7.0,12,-28.0,22
345,0.54,30,-326.0,0,0.0,0,-15.0,28,-351.0,16
350,0.66,30,-379.0,0,-1.0,0,-3.0,30,-378.0,23
355,0.69,25,-276.0,0,-1.0,10,-55.0,30,-435.0,11
360,0.73,19,-154.0,0,-1.0,6,-21.0,30,-435.0,9
365,0.62,30,-325.0,9,-45.0,18,-91.0,19,-253.0,18
370,0.54,30,-435.0,0,0.0,0,-1.0,7,-15.0,21
375,0.43,26,-352.0,10,-78.0,30,-406.0,21,-231.0,22
380,0.56,30,-435.0,9,-45.0,11,-37.0,18,-190.0,23
385,0.41,30,-436.0,9,-45.0,13,-91.0,27,-253.0,27
