Episode,Total_Reward,Steps,Value_Loss,Policy_Loss
1,-2689.0,121,0,0
2,-1448.0,111,0,0
3,-1474.0,112,0,0
4,-1444.0,113,0,0
5,-1938.0,119,0,0
6,-1989.0,128,0,0
7,-1408.0,106,0,0
8,-2090.0,110,0,0
9,-1932.0,113,70162.36121,-0.01862
10,-1483.0,111,70162.36121,-0.01862
11,-1586.0,116,70162.36121,-0.01862
12,-1476.0,113,70162.36121,-0.01862
13,-1656.0,113,70162.36121,-0.01862
14,-1637.0,115,70162.36121,-0.01862
15,-1388.0,109,70162.36121,-0.01862
16,-1043.0,109,70162.36121,-0.01862
17,-1302.0,112,70162.36121,-0.01862
18,-1402.0,110,70162.36121,-0.01862
19,-1183.0,111,41853.19456,-0.01537
20,-1209.0,107,41853.19456,-0.01537
21,-1169.0,108,41853.19456,-0.01537
22,-1184.0,108,41853.19456,-0.01537
23,-1141.0,110,41853.19456,-0.01537
24,-1284.0,110,41853.19456,-0.01537
25,-1151.0,109,41853.19456,-0.01537
26,-1235.0,110,41853.19456,-0.01537
27,-1424.0,109,41853.19456,-0.01537
28,-1126.0,108,28550.61901,-0.00554
29,-1168.0,107,28550.61901,-0.00554
30,-1181.0,108,28550.61901,-0.00554
31,-1074.0,108,28550.61901,-0.00554
32,-1172.0,112,28550.61901,-0.00554
33,-1028.0,109,28550.61901,-0.00554
34,-1267.0,109,28550.61901,-0.00554
35,-1364.0,112,28550.61901,-0.00554
36,-1141.0,109,28550.61901,-0.00554
37,-1157.0,109,27018.66426,-0.00451
38,-1227.0,108,27018.66426,-0.00451
39,-1159.0,107,27018.66426,-0.00451
40,-1150.0,115,27018.66426,-0.00451
41,-1099.0,110,27018.66426,-0.00451
42,-1070.0,108,27018.66426,-0.00451
43,-1152.0,110,27018.66426,-0.00451
44,-1228.0,107,27018.66426,-0.00451
45,-1210.0,108,27018.66426,-0.00451
46,-1267.0,115,27018.66426,-0.00451
47,-1038.0,107,25283.36123,-0.00392
48,-1124.0,106,25283.36123,-0.00392
49,-1127.0,108,25283.36123,-0.00392
50,-1172.0,117,25283.36123,-0.00392
51,-1224.0,108,25283.36123,-0.00392
52,-1064.0,109,25283.36123,-0.00392
53,-1125.0,110,25283.36123,-0.00392
54,-1124.0,109,25283.36123,-0.00392
55,-1183.0,108,25283.36123,-0.00392
56,-1068.0,108,24537.64926,-0.00599
57,-1145.0,108,24537.64926,-0.00599
58,-1044.0,107,24537.64926,-0.00599
59,-1201.0,109,24537.64926,-0.00599
